t,BTC/USD - Bybit_short,BTC/USD - Bybit_long,BTC/USD - OKX_short,BTC/USD - OKX_long,BTC/USD - Huobi_short,BTC/USD - Huobi_long,BTC/USD - Binance_short,BTC/USD - Binance_long,BTC/USDT - Bybit_short,BTC/USDT - Bybit_long,BTC/USDT - BitMEX_short,BTC/USDT - BitMEX_long,BTC/USDT - OKX_short,BTC/USDT - OKX_long,BTC/USDT - Huobi_short,BTC/USDT - Huobi_long,BTC/USDT - Binance_short,BTC/USDT - Binance_long,BTC/USDT - Bitfinex_short,BTC/USDT - Bitfinex_long,BTC/USD - Deribit_short,BTC/USD - Deribit_long,BTC/USD - BitMEX_short,BTC/USD - BitMEX_long
2022-01-02,999500.0,771329.0,663400.0,308200.0,431600.0,51100.0,886500.0,1779700.0,2277688.445,1479653.0949999997,1207550.9840000002,21617.470999999998,5950005.368999998,4831807.364999999,418310.1229999998,494310.6167999999,3747554.6400000057,5426703.840000007,18924.0,50763.63,31010.0,40600.0,1094400.0,424700.0
2022-01-03,666549.0,1947393.0,345300.0,933800.0,900.0,76600.0,632400.0,1847500.0,1365425.256,2482929.2800000007,0.0,112104.95299999998,2320022.655,7904333.442000001,742216.5605,1014317.7314999996,3220413.1279699993,8096480.045010006,6015.11837212,25264.876126360006,39000.0,67820.0,9000.0,2239800.0
2022-01-04,2846711.0,1238825.0,448200.0,756800.0,0.0,66700.0,1214300.0,1430100.0,2971458.6000000006,3187689.78,1191.0729999999999,10444.794,4967121.555000001,15278196.590999993,621005.5332,790262.3195999999,5014038.6477400055,17658287.55681988,4.5859000000000005,5544.3531,120520.0,1357490.0,402000.0,2931000.0
2022-01-05,1756579.0,11667225.0,154100.0,10007500.0,1500.0,2413400.0,732700.0,6131000.0,3448854.363000001,5729340.300000004,386712.456,561398.76,3313229.4280000012,33361631.607999694,572908.772,3972665.4660000135,7935617.799329993,22049186.808479957,9384.5747,139401.97324427,1087460.0,4539390.0,299100.0,56587100.0
2022-01-06,994629.0,1071587.0,45500.0,694300.0,3200.0,5600.0,360800.0,2380900.0,3107275.508499998,2883144.0190000013,0.0,1089411.1445,1539285.532,11107246.525000002,256320.13799999995,856095.4710000007,5091281.741820002,5205228.368270004,17074.6827,16508.745553380002,12060.0,61610.0,10400.0,1694300.0
2022-01-07,2780191.0,5289980.0,263800.0,4417300.0,77900.0,96000.0,1584100.0,5444200.0,5149807.6305000065,5104970.325000009,124.70100000000001,487040.53899999993,5717898.480000001,31823607.279999845,1703397.7526999996,4084390.4211000027,7196214.367079989,11353927.383239973,55878.2769255,178977.34630799995,341960.0,3300630.0,171600.0,6444700.0
2022-01-08,2016247.0,1105047.0,188800.0,2540000.0,5400.0,103300.0,1478500.0,1989700.0,2274952.7970000007,3122280.6810000003,625.0799999999999,23878.055999999997,2234893.6800000006,6376596.480000005,313346.89669999987,615939.0375999997,4692406.908000003,7415303.581799997,0.0,4276.832796,47980.0,335370.0,635100.0,1175500.0
2022-01-09,1382669.0,1246504.0,200800.0,177400.0,11000.0,4800.0,801100.0,830300.0,2693308.0320000015,1960158.3360000008,0.0,836.4300000000001,3686557.691000002,2312625.474,921329.9514999995,121616.39059999993,4349764.699480005,4093258.572100001,4125.51129067,3855.9699251699994,14110.0,630.0,68100.0,126800.0
2022-01-10,1588219.0,1805649.0,107100.0,2305000.0,95300.0,50100.0,1580400.0,3973100.0,3809050.7539999993,6415465.623000002,26981.64,95376.95999999999,7850496.189999997,11605099.508999996,1423996.7516000008,1431189.499200001,7523066.755049997,10212285.87119999,100391.1374168,181104.29272319996,1224140.0,2092330.0,381700.0,9884200.0
2022-01-11,1633226.0,1065250.0,826400.0,855700.0,10000.0,1900.0,1047700.0,1817800.0,6592940.794000002,2064147.8085000003,73845.05,0.0,6774789.320000003,5951648.146000003,621334.02,315876.105,7822849.977359992,4109556.143880007,8758.83,9243.15783642,0.0,5110.0,490900.0,341700.0
