t,BTC/USD - Bybit,BTC/USD - Huobi,BTC/USD - Binance,BTC/USDT - Bybit,BTC/USDT - Binance,BTC/USD - Phemex,BTC/USD - dYdX,BTC/USD - OKX,BTC/USD - Kraken,BTC/USDT - BitMEX,BTC/USDT - OKX,BTC/USDT - Huobi,BTC/USDT - Bitfinex,BTC/USD - Deribit,BTC/USD - BitMEX,BTC/USD - Phemex,BTC/USDT - Gate.io,BTC/USD - Gate.io,BTC/USD - Kraken,BTC/USDT - WOO X
2022-01-02,945964323,101478100,1125994500,727086554.12,3465520267.68,172041020.0,256203393.0768,248996400,97083620,4863363.339,327061563.906,128012072.5576,647094548.8440696,653214950,441927700,13141177.233,,,,
2022-01-03,997968155,108077900,1147301600,802644384.594,3692833386.73249,174354800.0,257439530.69449997,247776300,102078783,5209629.5495,363844577.96400005,132525858.09150001,634284977.6842602,655560940,463251400,12612843.524000002,,,,
2022-01-04,1014498205,111467300,1123993700,732863934.99,3719645804.3321,171579475.0,258257544.4617,247572200,98624055,5302290.512,348083592.57000005,140246714.1726,631551178.6122134,701200780,442256400,12920055.629,,,,
2022-01-05,891225767,104967300,1113417900,708411122.7210001,3380341180.42491,167088068.0,260288526.95999998,242077900,100575841,4570119.84,324575734.366,128717774.57849999,598550042.8109379,736649760,441077200,12362235.062,,,,
2022-01-06,930890077,102439800,1126998100,710404220.3610001,3415962662.01451,173457353.0,250753050.19149998,241493300,99588869,5121253.7425,336810498.428,127267947.36299999,600582529.7953937,671222020,425770600,12695428.066000002,,,,
2022-01-07,884612525,99362200,1073575000,674907910.404,3183295443.65912,162149268.0,232427009.4597,233794000,98807690,3842827.583,313654687.184,122010044.73420002,569682637.6381965,666427210,413478000,10738317.477,,,,
2022-01-08,869918801,103675700,1069572000,692167156.356,3184869344.8988504,162268700.0,231374798.732,236015300,98666779,3417104.0,292162844.15999997,118066042.65319999,554520809.3017952,671045090,411025200,11928256.105,,,,
2022-01-09,887948490,109167300,1085964100,707472128.256,3187332960.1188602,169156644.0,238239965.18,228425500,99497341,6324414.516,292904102.10800004,122140270.15179999,553752584.7119166,660823710,421623800,11299768.55,,,,
2022-01-10,831732545,99476200,1089534900,724200154.0970001,3199725185.4970503,153853177.0,246379406.927,224766400,101033201,5480786.808,309737416.56700003,129344670.99280001,566365119.4029504,622993920,422841100,10050967.218,,,,
2022-01-11,909865586,103381200,1088548000,764638082.079,3303589776.0228004,157495479.0,244149959.49300003,218956800,101663842,3929239.6199999996,317169066.48599994,140073546.5925,590929020.7400674,549608560,426042300,10264059.816,,,,
2022-01-12,893325415,108799200,1079912600,756975987.8025612,3399023301.41296,160082601.0,246397943.53280002,223283700,100529354,3977832.8839999996,338390858.0,139048375.8961,605643701.3534325,522057540,425477800,11060589.69,,,,
2022-01-13,900192272,119601100,1058842400,774397966.284,3267476254.1632,154520298.0,230063899.59219998,234290300,101044280,5799663.522,344121593.2,130572931.1923,585880887.4702773,534464640,414451300,10119196.004999999,,,,
2022-01-14,881326513,105123900,1068803900,760945403.8395001,3205682641.4104,144202774.0,226273429.3336,232799500,101799849,4187609.8334999997,318818091.481,135564099.185,595253153.9292551,510256920,421867600,10886615.7195,,,,
2022-01-15,887701475,113809000,1043365100,757005490.6290001,3247611898.25016,131636700.0,225297147.7575,234284300,99517769,3606113.049,337024713.94,143160175.0605,595684115.5484738,511940710,417954800,9896409.075,,,,
2022-01-16,891989499,111593300,1016148900,731313450.242,3173778581.92714,130071870.0,217572304.698,229775800,96185662,4647427.629,315494207.08,150178016.86200002,591642810.3259993,512161730,421206000,10918140.48,,,,
2022-01-17,888443566,111286700,1026698300,812918729.4,3195331057.8874793,130489542.0,208320867.0401,235645000,98399624,4237920.456,327590899.58400005,148849893.94,576487341.9100034,513235140,431303300,8934948.531,,,,
2022-01-18,875942628,104710600,1034079600,797203777.3695767,3163967752.4644203,134288297.0,204447146.7199,231264100,98088089,6479499.448499999,334086868.5,147397189.833,576835411.590982,511072510,419094600,9458468.187,,,,
2022-01-19,893602193,98290500,1055956600,818168990.121,3141097844.75259,129358787.0,205143329.9856,231727500,103444002,4769793.6245,327829198.411,146784887.42810002,565314772.7274773,517793540,433993200,9181644.58,,,,
2022-01-20,877324356,114183600,1051189400,794700566.806,3113627111.53268,124415058.0,209112078.9096,218995900,96447522,6942299.352,334224713.495,140780458.3355,552162228.1429867,520403370,420916700,9111173.1165,,,,
2022-01-21,712171248,96469200,983634600,634012803.2925,2616778876.29088,117474038.0,176892546.90240002,223718900,89623377,4565027.772,294284653.93200004,110454075.873,496627384.10957193,506281210,351113700,5922635.32,,,,
2022-01-22,655723709,100773500,914302700,593584478.1539999,2562024006.4819303,91608144.0,175548134.0916,223118800,90090672,4947185.095,277293101.916,105616893.73850001,487535286.57436216,489835250,350712400,7338633.2700000005,,,,
2022-01-23,674252221,89664000,923201700,630560233.3066376,2685727126.9890304,84620517.0,183642472.9262,204603800,89535250,4932639.665999999,297437272.692,119045389.96700001,505188197.7803199,492608820,366687900,7275285.692,,,,
2022-01-24,633884105,95792000,885532000,582071854.2839999,2679029758.4839497,78008656.0,187744093.0614,220005800,89740894,5273945.6485,279768863.654,119993484.79670002,508389610.7749368,487896620,367970100,7011909.9765,,,,
2022-01-25,655882333,101627500,858927700,632890080.0000001,2809313665.55466,78072208.0,194862472.9524,221788700,90571704,5496213.3295,302350293.0,126675860.74,511948174.31895536,475851710,377660700,6216088.6995,,,,
2022-01-26,623037897,107879600,863128500,602487297.1496323,2717470936.54393,74587089.0,196895806.1672,231859000,94294680,5353203.3555,286228884.92800003,123516600.82679999,505904807.8690248,470526530,364652600,5685735.378,,,,
2022-01-27,636809565,101738300,828721100,595689534.2265,2686738859.256,77562131.0,204660289.79999998,217052500,97555542,7017695.1955,314291140.125,125445135.7614,504772288.6316204,469088430,345573800,6739390.5540000005,,,,
2022-01-28,610698411,93647100,846521900,672007935.1830001,2798481927.01613,72499347.0,223231590.0117,222107300,98986783,7570444.0709999995,338272485.375,123160408.2674,512913224.19860065,447644410,349772200,8741943.252,,,,
2022-01-29,625545256,97065200,835512300,710199102.161,2911391117.39295,74800266.0,218497438.0954,225988400,93177200,7037402.955999999,353137188.12000006,128032240.99810001,518546132.33622473,449675340,361896000,7904129.09,,,,
2022-01-30,639870983,99921600,821680000,672004392.2276213,2926351512.42587,78066537.0,217635057.37,229176700,92876258,5530255.5709999995,328753434.204,134631040.2777,518076907.9072379,448620520,367200600,8144742.3465,,,,
2022-01-31,655408885,99220500,821757200,790051169.6,3187647147.1584005,77181146.0,223732056.3372,226171700,88641067,6704659.84,359606225.394,135498764.71,528240287.08231837,438104490,373314800,9013882.0725,,,,
2022-02-01,667017607,99418400,801143200,727811243.6265,3040954860.63138,80784056.0,211773747.15069997,224574200,90062482,5577804.6885,341080342.67999995,133854673.2144,531106033.0401799,438616430,360434800,8705599.958999999,,,,
2022-02-02,657407643,101865500,788266000,683762146.2896311,2878513626.74456,83259917.0,201418716.477,224300900,88641784,5086958.3725,327802745.07000005,124831092.9888,506763824.6803081,442164180,373204300,7828582.865999999,,,,
2022-02-03,675903050,102150500,769235500,698355757.5929999,2899258200.12668,74505589.0,200675724.39900002,232939600,88206045,7725791.4975,322199122.005,133882769.51309998,511260441.8986714,428840940,368526700,9041491.25,,,,
2022-02-04,694147016,95685400,799524600,794675016.9855,3387585460.7999997,76274739.0,234570053.12,237858800,94357050,7401770.2469999995,373228515.027,148905810.447,566614759.7419307,447997250,361967000,10943741.216,,,,
2022-02-05,689633415,91112000,812480000,768317770.5999999,3362121169.9211507,81057474.0,236029831.7585,240325200,97147802,7205790.659999999,385514511.712,148321623.9804,564776981.0804803,450965040,365290900,10791667.659500001,,,,
2022-02-06,721300507,98568100,824030300,820434564.95,3410411299.0415998,78482006.0,243191468.3232,234173900,99085612,7510652.8845,406474436.52000004,151329127.9854,578215682.6001968,450901630,369374200,12520226.95,,,,
2022-02-07,791868755,106747000,833259200,842086559.817,3424994723.8327794,85408290.0,254884862.7,239393100,103038889,6430951.875,408567822.465,162952454.9766,598351900.4146067,476931210,392267900,13482958.021000002,,,,
2022-02-08,754102884,108026100,854769400,781214708.4350001,3211750884.39804,89280171.0,243257620.58499998,228455100,104564914,7806570.124,373182415.8,160303195.9015,599595228.4361684,469479800,378979900,11098347.273,,,,
2022-02-09,732954273,106715600,835299800,808279566.3310001,3309850930.8092804,95405478.0,246774976.60200003,237721200,104039735,6857480.652,395101115.36,158524831.998,604002733.5705945,464464310,375330900,11415076.342500001,,,,
2022-02-10,766598022,98105200,821144700,784816413.577,3124875299.7075305,97003141.0,237455799.808,244566300,105682274,7126360.2545,373459387.122,158636336.7088,592020910.1257174,442822550,372394400,10618600.43,,,,
2022-02-11,735891092,106604600,822696900,749005162.3075765,3075644925.66,86380696.0,238077469.6722,241190400,111187484,5969752.839,348086464.355,156759759.6696,577266719.5360775,411512780,326232900,11775080.25,,,,
