symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
MNTUSDT.6,6,MNTUSDT,MNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
QNTUSDT.6,6,QNTUSDT,QNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
MAVUSDT.6,6,MAVUSDT,MAV,USDT,,True,True,STABLE,BASE_ASSET,True,True
NMRUSDT_PERP.A,A,NMRUSDT,NMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
L3USDT.6,6,L3USDT,L3,USDT,,True,True,STABLE,BASE_ASSET,True,True
VRAUSDT.6,6,VRAUSDT,VRA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BIGTIMEUSDT_PERP.A,A,BIGTIMEUSDT,BIGTIME,USDT,,True,True,STABLE,BASE_ASSET,True,True
POWRUSDT_PERP.A,A,POWRUSDT,POWR,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZEUSUSDT.6,6,ZEUSUSDT,ZEUS,USDT,,True,True,STABLE,BASE_ASSET,True,True
MAVUSDT_PERP.A,A,MAVUSDT,MAV,USDT,,True,True,STABLE,BASE_ASSET,True,True
WLDUSDT.6,6,WLDUSDT,WLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
NMRUSDT.6,6,NMRUSDT,NMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
AGLDUSDT_PERP.A,A,AGLDUSDT,AGLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
FORTHUSDT.6,6,FORTHUSDT,FORTH,USDT,,True,True,STABLE,BASE_ASSET,True,True
VGXUSDT.6,6,VGXUSDT,VGX,USDT,,True,True,STABLE,BASE_ASSET,True,True
ARKUSDT.6,6,ARKUSDT,ARK,USDT,,True,True,STABLE,BASE_ASSET,True,True
ALPACAUSDT.6,6,ALPACAUSDT,ALPACA,USDT,,True,True,STABLE,BASE_ASSET,True,True
CYBERUSDT_PERP.A,A,CYBERUSDT,CYBER,USDT,,True,True,STABLE,BASE_ASSET,True,True
HIFIUSDT.6,6,HIFIUSDT,HIFI,USDT,,True,True,STABLE,BASE_ASSET,True,True
STPTUSDT.6,6,STPTUSDT,STPT,USDT,,True,True,STABLE,BASE_ASSET,True,True
OGUSDT.6,6,OGUSDT,OG,USDT,,True,True,STABLE,BASE_ASSET,True,True
ARKUSDT_PERP.A,A,ARKUSDT,ARK,USDT,,True,True,STABLE,BASE_ASSET,True,True
WLDUSDT_PERP.A,A,WLDUSDT,WLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
SAGAUSDT_PERP.A,A,SAGAUSDT,SAGA,USDT,,True,True,STABLE,BASE_ASSET,True,True
CETUSUSDT.6,6,CETUSUSDT,CETUS,USDT,,True,True,STABLE,BASE_ASSET,True,True
PENDLEUSDT_PERP.A,A,PENDLEUSDT,PENDLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
ARKMUSDT.6,6,ARKMUSDT,ARKM,USDT,,True,True,STABLE,BASE_ASSET,True,True
ARKMUSDT_PERP.A,A,ARKMUSDT,ARKM,USDT,,True,True,STABLE,BASE_ASSET,True,True
LOOMUSDT.6,6,LOOMUSDT,LOOM,USDT,,True,True,STABLE,BASE_ASSET,True,True
CHESSUSDT_PERP.A,A,CHESSUSDT,CHESS,USDT,,True,True,STABLE,BASE_ASSET,True,True
FLUXUSDT_PERP.A,A,FLUXUSDT,FLUX,USDT,,True,True,STABLE,BASE_ASSET,True,True
CYBERUSDT.6,6,CYBERUSDT,CYBER,USDT,,True,True,STABLE,BASE_ASSET,True,True
SEIUSDT.6,6,SEIUSDT,SEI,USDT,,True,True,STABLE,BASE_ASSET,True,True
TNSRUSDT.6,6,TNSRUSDT,TNSR,USDT,,True,True,STABLE,BASE_ASSET,True,True
MAXUSDT.6,6,MAXUSDT,MAX,USDT,,True,True,STABLE,BASE_ASSET,True,True
AAVEUSD_PERP.A,A,AAVEUSD_PERP,AAVE,USD,,True,True,COIN,QUOTE_ASSET,True,True
ADAUSD_PERP.A,A,ADAUSD_PERP,ADA,USD,,True,True,COIN,QUOTE_ASSET,True,True
APTUSD_PERP.A,A,APTUSD_PERP,APT,USD,,True,True,COIN,QUOTE_ASSET,True,True
AXSUSD_PERP.A,A,AXSUSD_PERP,AXS,USD,,True,True,COIN,QUOTE_ASSET,True,True
BCHUSD_PERP.A,A,BCHUSD_PERP,BCH,USD,,True,True,COIN,QUOTE_ASSET,True,True
BNBUSD_PERP.A,A,BNBUSD_PERP,BNB,USD,,True,True,COIN,QUOTE_ASSET,True,True
BTCUSD_PERP.A,A,BTCUSD_PERP,BTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
CHZUSD_PERP.A,A,CHZUSD_PERP,CHZ,USD,,True,True,COIN,QUOTE_ASSET,True,True
DOGEUSD_PERP.A,A,DOGEUSD_PERP,DOGE,USD,,True,True,COIN,QUOTE_ASSET,True,True
DOTUSD_PERP.A,A,DOTUSD_PERP,DOT,USD,,True,True,COIN,QUOTE_ASSET,True,True
EGLDUSD_PERP.A,A,EGLDUSD_PERP,EGLD,USD,,True,True,COIN,QUOTE_ASSET,True,True
ENSUSD_PERP.A,A,ENSUSD_PERP,ENS,USD,,True,True,COIN,QUOTE_ASSET,True,True
EOSUSD_PERP.A,A,EOSUSD_PERP,EOS,USD,,True,True,COIN,QUOTE_ASSET,True,True
ETCUSD_PERP.A,A,ETCUSD_PERP,ETC,USD,,True,True,COIN,QUOTE_ASSET,True,True
ETHUSD_PERP.A,A,ETHUSD_PERP,ETH,USD,,True,True,COIN,QUOTE_ASSET,True,True
FILUSD_PERP.A,A,FILUSD_PERP,FIL,USD,,True,True,COIN,QUOTE_ASSET,True,True
FTMUSD_PERP.A,A,FTMUSD_PERP,FTM,USD,,True,True,COIN,QUOTE_ASSET,True,True
GMTUSD_PERP.A,A,GMTUSD_PERP,GMT,USD,,True,True,COIN,QUOTE_ASSET,True,True
LINKUSD_PERP.A,A,LINKUSD_PERP,LINK,USD,,True,True,COIN,QUOTE_ASSET,True,True
LTCUSD_PERP.A,A,LTCUSD_PERP,LTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
NEARUSD_PERP.A,A,NEARUSD_PERP,NEAR,USD,,True,True,COIN,QUOTE_ASSET,True,True
OPUSD_PERP.A,A,OPUSD_PERP,OP,USD,,True,True,COIN,QUOTE_ASSET,True,True
RUNEUSD_PERP.A,A,RUNEUSD_PERP,RUNE,USD,,True,True,COIN,QUOTE_ASSET,True,True
SANDUSD_PERP.A,A,SANDUSD_PERP,SAND,USD,,True,True,COIN,QUOTE_ASSET,True,True
SOLUSD_PERP.A,A,SOLUSD_PERP,SOL,USD,,True,True,COIN,QUOTE_ASSET,True,True
THETAUSD_PERP.A,A,THETAUSD_PERP,THETA,USD,,True,True,COIN,QUOTE_ASSET,True,True
TRXUSD_PERP.A,A,TRXUSD_PERP,TRX,USD,,True,True,COIN,QUOTE_ASSET,True,True
UNIUSD_PERP.A,A,UNIUSD_PERP,UNI,USD,,True,True,COIN,QUOTE_ASSET,True,True
XLMUSD_PERP.A,A,XLMUSD_PERP,XLM,USD,,True,True,COIN,QUOTE_ASSET,True,True
XRPUSD_PERP.A,A,XRPUSD_PERP,XRP,USD,,True,True,COIN,QUOTE_ASSET,True,True
BADGERUSDT.6,6,BADGERUSDT,BADGER,USDT,,True,True,STABLE,BASE_ASSET,True,True
SAGAUSDT.6,6,SAGAUSDT,SAGA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BONDUSDT_PERP.A,A,BONDUSDT,BOND,USDT,,True,True,STABLE,BASE_ASSET,True,True
